station,aos,los,duration,angle
Svalbard,06/09/2024 17:13:00,06/09/2024 17:14:42,101.995,20
Svalbard,06/09/2024 18:51:56,06/09/2024 18:53:20,83.564,-10
Punta Arenas,06/09/2024 21:07:29,06/09/2024 21:10:02,152.613,20
Punta Arenas,06/09/2024 21:07:52,06/09/2024 21:09:43,111.545,10
Svalbard,06/10/2024 01:23:04,06/10/2024 01:23:23,19.28,-20
Svalbard,06/10/2024 03:01:14,06/10/2024 03:02:16,61.677,10
Svalbard,06/10/2024 03:01:48,06/10/2024 03:02:34,46.337,0
Troll,06/10/2024 07:16:10,06/10/2024 07:18:15,124.933,10
Troll,06/10/2024 07:16:12,06/10/2024 07:18:13,121.196,0
Troll,06/10/2024 07:16:22,06/10/2024 07:18:02,99.613,-10
Troll,06/10/2024 07:16:48,06/10/2024 07:17:35,47.795,-20
Troll,06/10/2024 08:53:47,06/10/2024 08:55:58,131.646,20
Punta Arenas,06/10/2024 10:39:54,06/10/2024 10:42:22,147.178,-20
Punta Arenas,06/10/2024 10:40:07,06/10/2024 10:40:56,49.487,-10
Troll,06/10/2024 13:45:06,06/10/2024 13:47:10,124.038,20
Fairbanks,06/10/2024 14:30:56,06/10/2024 14:31:57,60.946,0
Fairbanks,06/10/2024 14:31:19,06/10/2024 14:32:15,55.85,-10
Troll,06/10/2024 15:22:40,06/10/2024 15:24:49,128.553,10
Troll,06/10/2024 15:22:47,06/10/2024 15:24:44,117.169,0
Troll,06/10/2024 15:23:03,06/10/2024 15:24:29,86.053,-10
Troll,06/10/2024 15:23:41,06/10/2024 15:24:45,64.278,20
Svalbard,06/10/2024 17:59:23,06/10/2024 17:59:55,32.366,0
Svalbard,06/10/2024 19:37:03,06/10/2024 19:37:04,1.22,-20
Punta Arenas,06/10/2024 21:53:34,06/10/2024 21:55:15,100.737,-20
Punta Arenas,06/10/2024 21:55:01,06/10/2024 21:55:02,0.904,-10
Svalbard,06/11/2024 02:08:29,06/11/2024 02:09:40,71.516,-10
Svalbard,06/11/2024 02:09:09,06/11/2024 02:09:16,6.218,-20
Svalbard,06/11/2024 03:46:31,06/11/2024 03:48:17,105.142,20
Fairbanks,06/11/2024 03:57:17,06/11/2024 03:58:03,45.331,10
Troll,06/11/2024 06:23:02,06/11/2024 06:25:33,150.251,-20
Troll,06/11/2024 06:24:50,06/11/2024 06:25:21,31.219,-10
Troll,06/11/2024 08:01:05,06/11/2024 08:03:38,153.218,20
Troll,06/11/2024 08:01:23,06/11/2024 08:03:18,115.755,10
Troll,06/11/2024 08:02:04,06/11/2024 08:02:36,32.81,0
Troll,06/11/2024 09:39:23,06/11/2024 09:40:05,42.602,20
Punta Arenas,06/11/2024 11:25:07,06/11/2024 11:27:39,152.303,20
Punta Arenas,06/11/2024 11:25:27,06/11/2024 11:27:17,110.455,10
Troll,06/11/2024 14:29:48,06/11/2024 14:32:22,154.226,20
Troll,06/11/2024 14:30:18,06/11/2024 14:31:53,95.807,10
Fairbanks,06/11/2024 15:16:15,06/11/2024 15:18:14,118.31,20
Troll,06/11/2024 16:07:54,06/11/2024 16:10:11,137.055,-20
Troll,06/11/2024 16:08:17,06/11/2024 16:10:07,110.177,-10
Svalbard,06/11/2024 17:05:25,06/11/2024 17:07:27,121.45,20
