station,aos,los,duration,angle
Fairbanks,10/06/2023 04:09:12,10/06/2023 04:11:36,144.221,20
Fairbanks,10/06/2023 04:09:59,10/06/2023 04:10:52,53.341,10
Troll,10/06/2023 08:14:24,10/06/2023 08:15:45,81.384,0
Troll,10/06/2023 09:51:52,10/06/2023 09:53:14,81.759,20
Punta Arenas,10/06/2023 11:38:38,10/06/2023 11:39:31,53.249,-10
Punta Arenas,10/06/2023 11:38:59,10/06/2023 11:39:58,59.561,0
Fairbanks,10/06/2023 13:52:56,10/06/2023 13:53:01,5.132,-20
Troll,10/06/2023 14:42:36,10/06/2023 14:44:16,99.854,20
Troll,10/06/2023 14:43:20,10/06/2023 14:44:22,62.254,10
Fairbanks,10/06/2023 15:29:27,10/06/2023 15:30:19,52.107,10
Fairbanks,10/06/2023 15:29:29,10/06/2023 15:31:06,97.002,20
Troll,10/06/2023 16:20:44,10/06/2023 16:21:07,23.306,-20
Svalbard,10/06/2023 17:18:12,10/06/2023 17:20:04,112.177,20
Svalbard,10/06/2023 18:56:36,10/06/2023 18:58:50,133.774,20
Svalbard,10/06/2023 18:56:40,10/06/2023 18:58:46,125.601,10
Svalbard,10/06/2023 18:56:54,10/06/2023 18:58:33,99.036,0
Svalbard,10/06/2023 18:57:25,10/06/2023 18:58:03,38.442,-10
Svalbard,10/06/2023 20:34:47,10/06/2023 20:36:54,126.593,-20
Svalbard,10/06/2023 20:34:48,10/06/2023 20:36:53,125.063,-10
Punta Arenas,10/06/2023 21:13:00,10/06/2023 21:15:01,121.543,20
Svalbard,10/06/2023 22:12:24,10/06/2023 22:14:51,147.495,-20
Svalbard,10/06/2023 23:50:14,10/06/2023 23:52:32,137.303,-20
